#Mol_idx,mol_in_unitcell,unitcell_in_supercell_a,unitcell_in_supercell_b,unitcell_in_supercell_c
0,0,0,0,0
1,1,0,0,0
2,2,0,0,0
3,3,0,0,0
4,4,0,0,0
5,5,0,0,0
6,6,0,0,0
7,7,0,0,0
8,0,0,0,1
9,1,0,0,1
10,2,0,0,1
11,3,0,0,1
12,4,0,0,1
13,5,0,0,1
14,6,0,0,1
15,7,0,0,1
16,0,0,0,2
17,1,0,0,2
18,2,0,0,2
19,3,0,0,2
20,4,0,0,2
21,5,0,0,2
22,6,0,0,2
23,7,0,0,2
24,0,0,0,3
25,1,0,0,3
26,2,0,0,3
27,3,0,0,3
28,4,0,0,3
29,5,0,0,3
30,6,0,0,3
31,7,0,0,3
32,0,0,0,4
33,1,0,0,4
34,2,0,0,4
35,3,0,0,4
36,4,0,0,4
37,5,0,0,4
38,6,0,0,4
39,7,0,0,4
40,0,0,1,0
41,1,0,1,0
42,2,0,1,0
43,3,0,1,0
44,4,0,1,0
45,5,0,1,0
46,6,0,1,0
47,7,0,1,0
48,0,0,1,1
49,1,0,1,1
50,2,0,1,1
51,3,0,1,1
52,4,0,1,1
53,5,0,1,1
54,6,0,1,1
55,7,0,1,1
56,0,0,1,2
57,1,0,1,2
58,2,0,1,2
59,3,0,1,2
60,4,0,1,2
61,5,0,1,2
62,6,0,1,2
63,7,0,1,2
64,0,0,1,3
65,1,0,1,3
66,2,0,1,3
67,3,0,1,3
68,4,0,1,3
69,5,0,1,3
70,6,0,1,3
71,7,0,1,3
72,0,0,1,4
73,1,0,1,4
74,2,0,1,4
75,3,0,1,4
76,4,0,1,4
77,5,0,1,4
78,6,0,1,4
79,7,0,1,4
80,0,0,2,0
81,1,0,2,0
82,2,0,2,0
83,3,0,2,0
84,4,0,2,0
85,5,0,2,0
86,6,0,2,0
87,7,0,2,0
88,0,0,2,1
89,1,0,2,1
90,2,0,2,1
91,3,0,2,1
92,4,0,2,1
93,5,0,2,1
94,6,0,2,1
95,7,0,2,1
96,0,0,2,2
97,1,0,2,2
98,2,0,2,2
99,3,0,2,2
100,4,0,2,2
101,5,0,2,2
102,6,0,2,2
103,7,0,2,2
104,0,0,2,3
105,1,0,2,3
106,2,0,2,3
107,3,0,2,3
108,4,0,2,3
109,5,0,2,3
110,6,0,2,3
111,7,0,2,3
112,0,0,2,4
113,1,0,2,4
114,2,0,2,4
115,3,0,2,4
116,4,0,2,4
117,5,0,2,4
118,6,0,2,4
119,7,0,2,4
120,0,0,3,0
121,1,0,3,0
122,2,0,3,0
123,3,0,3,0
124,4,0,3,0
125,5,0,3,0
126,6,0,3,0
127,7,0,3,0
128,0,0,3,1
129,1,0,3,1
130,2,0,3,1
131,3,0,3,1
132,4,0,3,1
133,5,0,3,1
134,6,0,3,1
135,7,0,3,1
136,0,0,3,2
137,1,0,3,2
138,2,0,3,2
139,3,0,3,2
140,4,0,3,2
141,5,0,3,2
142,6,0,3,2
143,7,0,3,2
144,0,0,3,3
145,1,0,3,3
146,2,0,3,3
147,3,0,3,3
148,4,0,3,3
149,5,0,3,3
150,6,0,3,3
151,7,0,3,3
152,0,0,3,4
153,1,0,3,4
154,2,0,3,4
155,3,0,3,4
156,4,0,3,4
157,5,0,3,4
158,6,0,3,4
159,7,0,3,4
160,0,0,4,0
161,1,0,4,0
162,2,0,4,0
163,3,0,4,0
164,4,0,4,0
165,5,0,4,0
166,6,0,4,0
167,7,0,4,0
168,0,0,4,1
169,1,0,4,1
170,2,0,4,1
171,3,0,4,1
172,4,0,4,1
173,5,0,4,1
174,6,0,4,1
175,7,0,4,1
176,0,0,4,2
177,1,0,4,2
178,2,0,4,2
179,3,0,4,2
180,4,0,4,2
181,5,0,4,2
182,6,0,4,2
183,7,0,4,2
184,0,0,4,3
185,1,0,4,3
186,2,0,4,3
187,3,0,4,3
188,4,0,4,3
189,5,0,4,3
190,6,0,4,3
191,7,0,4,3
192,0,0,4,4
193,1,0,4,4
194,2,0,4,4
195,3,0,4,4
196,4,0,4,4
197,5,0,4,4
198,6,0,4,4
199,7,0,4,4
200,0,1,0,0
201,1,1,0,0
202,2,1,0,0
203,3,1,0,0
204,4,1,0,0
205,5,1,0,0
206,6,1,0,0
207,7,1,0,0
208,0,1,0,1
209,1,1,0,1
210,2,1,0,1
211,3,1,0,1
212,4,1,0,1
213,5,1,0,1
214,6,1,0,1
215,7,1,0,1
216,0,1,0,2
217,1,1,0,2
218,2,1,0,2
219,3,1,0,2
220,4,1,0,2
221,5,1,0,2
222,6,1,0,2
223,7,1,0,2
224,0,1,0,3
225,1,1,0,3
226,2,1,0,3
227,3,1,0,3
228,4,1,0,3
229,5,1,0,3
230,6,1,0,3
231,7,1,0,3
232,0,1,0,4
233,1,1,0,4
234,2,1,0,4
235,3,1,0,4
236,4,1,0,4
237,5,1,0,4
238,6,1,0,4
239,7,1,0,4
240,0,1,1,0
241,1,1,1,0
242,2,1,1,0
243,3,1,1,0
244,4,1,1,0
245,5,1,1,0
246,6,1,1,0
247,7,1,1,0
248,0,1,1,1
249,1,1,1,1
250,2,1,1,1
251,3,1,1,1
252,4,1,1,1
253,5,1,1,1
254,6,1,1,1
255,7,1,1,1
256,0,1,1,2
257,1,1,1,2
258,2,1,1,2
259,3,1,1,2
260,4,1,1,2
261,5,1,1,2
262,6,1,1,2
263,7,1,1,2
264,0,1,1,3
265,1,1,1,3
266,2,1,1,3
267,3,1,1,3
268,4,1,1,3
269,5,1,1,3
270,6,1,1,3
271,7,1,1,3
272,0,1,1,4
273,1,1,1,4
