#Mol_idx,mol_in_unitcell,unitcell_in_supercell_a,unitcell_in_supercell_b,unitcell_in_supercell_c
0,0,0,0,0
1,0,0,0,1
2,0,0,0,2
3,0,0,0,3
4,0,0,1,0
5,0,0,1,1
6,0,0,1,2
7,0,0,1,3
8,0,0,2,0
9,0,0,2,1
10,0,0,2,2
11,0,0,2,3
12,0,0,3,0
13,0,0,3,1
14,0,0,3,2
15,0,0,3,3
16,0,0,4,0
17,0,0,4,1
18,0,0,4,2
19,0,0,4,3
20,0,0,5,0
21,0,0,5,1
22,0,0,5,2
23,0,0,5,3
24,0,0,6,0
25,0,0,6,1
26,0,0,6,2
27,0,0,6,3
28,0,1,0,0
29,0,1,0,1
30,0,1,0,2
31,0,1,0,3
32,0,1,1,0
33,0,1,1,1
34,0,1,1,2
35,0,1,1,3
36,0,1,2,0
37,0,1,2,1
38,0,1,2,2
39,0,1,2,3
40,0,1,3,0
41,0,1,3,1
42,0,1,3,2
43,0,1,3,3
44,0,1,4,0
45,0,1,4,1
46,0,1,4,2
47,0,1,4,3
48,0,1,5,0
49,0,1,5,1
50,0,1,5,2
51,0,1,5,3
52,0,1,6,0
53,0,1,6,1
54,0,1,6,2
55,0,1,6,3
56,0,2,0,0
57,0,2,0,1
58,0,2,0,2
59,0,2,0,3
60,0,2,1,0
61,0,2,1,1
62,0,2,1,2
63,0,2,1,3
64,0,2,2,0
65,0,2,2,1
66,0,2,2,2
67,0,2,2,3
68,0,2,3,0
69,0,2,3,1
70,0,2,3,2
71,0,2,3,3
72,0,2,4,0
73,0,2,4,1
74,0,2,4,2
75,0,2,4,3
76,0,2,5,0
77,0,2,5,1
78,0,2,5,2
79,0,2,5,3
80,0,2,6,0
81,0,2,6,1
82,0,2,6,2
83,0,2,6,3
84,0,3,0,0
85,0,3,0,1
86,0,3,0,2
87,0,3,0,3
88,0,3,1,0
89,0,3,1,1
90,0,3,1,2
91,0,3,1,3
92,0,3,2,0
93,0,3,2,1
94,0,3,2,2
95,0,3,2,3
96,0,3,3,0
97,0,3,3,1
98,0,3,3,2
99,0,3,3,3
100,0,3,4,0
101,0,3,4,1
102,0,3,4,2
103,0,3,4,3
104,0,3,5,0
105,0,3,5,1
106,0,3,5,2
107,0,3,5,3
108,0,3,6,0
109,0,3,6,1
110,0,3,6,2
111,0,3,6,3
112,0,4,0,0
113,0,4,0,1
114,0,4,0,2
115,0,4,0,3
116,0,4,1,0
117,0,4,1,1
118,0,4,1,2
119,0,4,1,3
120,0,4,2,0
121,0,4,2,1
122,0,4,2,2
123,0,4,2,3
124,0,4,3,0
125,0,4,3,1
126,0,4,3,2
127,0,4,3,3
128,0,4,4,0
129,0,4,4,1
130,0,4,4,2
131,0,4,4,3
132,0,4,5,0
133,0,4,5,1
134,0,4,5,2
135,0,4,5,3
136,0,4,6,0
137,0,4,6,1
138,0,4,6,2
139,0,4,6,3
140,0,5,0,0
141,0,5,0,1
142,0,5,0,2
143,0,5,0,3
144,0,5,1,0
145,0,5,1,1
146,0,5,1,2
147,0,5,1,3
148,0,5,2,0
149,0,5,2,1
150,0,5,2,2
151,0,5,2,3
152,0,5,3,0
153,0,5,3,1
154,0,5,3,2
155,0,5,3,3
156,0,5,4,0
157,0,5,4,1
158,0,5,4,2
159,0,5,4,3
160,0,5,5,0
161,0,5,5,1
162,0,5,5,2
163,0,5,5,3
164,0,5,6,0
165,0,5,6,1
166,0,5,6,2
167,0,5,6,3
168,0,6,0,0
169,0,6,0,1
170,0,6,0,2
171,0,6,0,3
172,0,6,1,0
173,0,6,1,1
