# Time,Potential,Kinetic En.,Box-XX,Box-XY,Box-XZ,Box-YX,Box-YY,Box-YZ,Box-ZX,Box-ZY,Box-ZZ,Volume,Density,Temperature
0.0,-270714.9923861831,0.04628490781351819,4.4177,0.0,0.0,0.0,4.4786,0.0,-0.8336524888627651,0.0,5.147125913343574,101.8364586588467,1.3320507917928643,0.00034362931269551263
0.0,-270715.00225788046,0.04631757387433675,4.41770154355854,0.0,0.0,6.454988529581738e-07,4.478599092318826,0.0,-0.8336488751322456,3.934076391055976e-06,5.147131239437551,101.83657897893133,1.332049217972675,0.00034387183269950135
0.0,-270716.91570817854,0.04988169032197121,4.417235576979825,0.0,0.0,0.00029622381883528454,4.478469836239703,0.0,-0.8342748608539411,-0.0003192884347249851,5.146406567714749,101.80856298188758,1.3324157754199057,0.0003703326153416934
0.0,-270723.14604134223,0.13709701964325616,4.414214851758066,0.0,0.0,-0.00016370123786281688,4.478604430114328,0.0,-0.8320749172847955,-0.0004651465430458615,5.146749070760908,101.74876996365253,1.3331987741803308,0.0010178383593724253
0.0,-270726.94195326284,0.04211568147846871,4.414214851758066,0.0,0.0,-0.00016370123786281688,4.478604430114328,0.0,-0.8320749172847955,-0.0004651465430458615,5.146749070760908,101.74876996365253,1.3331987741803308,0.0003126760614595525
0.0,-270726.94224990904,0.042115592445797684,4.414214865300391,0.0,0.0,-0.0001636891120806424,4.478604442791738,0.0,-0.8320749208567474,-0.00046514716409538215,5.146749066796806,101.7487704854544,1.33319876734324,0.0003126754004614648
0.0,-270726.94219507277,0.042115595026098594,4.414214865300391,0.0,0.0,-0.0001636891120806424,4.478604442791738,0.0,-0.8320749208567474,-0.00046514716409538215,5.146749066796806,101.7487704854544,1.33319876734324,0.000312675419618185
0.0,-270727.02551074955,0.04146811779471927,4.414214865300391,0.0,0.0,-0.0001636891120806424,4.478604442791738,0.0,-0.8320749208567474,-0.00046514716409538215,5.146749066796806,101.7487704854544,1.33319876734324,0.00030786840656543587
0.0,-270727.79006188904,0.05484383573069657,4.413279840103608,0.0,0.0,9.205547036102539e-06,4.4789821405778145,0.0,-0.8319429752711928,-0.0005302892119663733,5.146317164362814,101.72725954588202,1.33348068153468,0.00040717267178440016
0.0,-270727.7915090302,0.05484383254027685,4.413279840103608,0.0,0.0,9.205547036102539e-06,4.4789821405778145,0.0,-0.8319429752711928,-0.0005302892119663733,5.146317164362814,101.72725954588202,1.33348068153468,0.00040717264809802406
0.0,-270727.83652514126,0.05627271633038355,4.41310512192703,0.0,0.0,-7.190309662353351e-05,4.478849638454342,0.0,-0.8318152046299666,-0.0001641992918229924,5.146547192582273,101.72476961233262,1.3335133213558275,0.0004177809949201542
0.0,-270729.104883629,0.06626030671722223,4.412830648937957,0.0,0.0,-0.00014550897473364664,4.478873149214893,0.0,-0.8320240677612432,-0.00033518478955214316,5.146194600625118,101.71200798456486,1.3336806349402084,0.0004919310576996098
0.0,-270735.7862577116,0.04922899514165594,4.412699480075315,0.0,0.0,-0.0005787634136216476,4.478401541552561,0.0,-0.8321095506645777,-0.0004996179521968098,5.145966364444256,101.69376473189197,1.3339198892629518,0.0003654868630909802
0.0,-270736.83781482984,0.04517570792329571,4.4123705521662915,0.0,0.0,2.892192007178272e-05,4.478269137881649,0.0,-0.8318274755931344,-0.0008409362174027513,5.146037923108167,101.68459199452863,1.3340402191631653,0.0003353943692998219
0.0,-270736.83812094975,0.04517570511152197,4.4123705521575385,0.0,0.0,2.8921920047882098e-05,4.478269137879876,0.0,-0.8318274755851771,-0.0008409362224239588,5.146037923094559,101.68459199401774,1.3340402191698681,0.00033539434842459656
0.0,-270736.84229545563,0.04517350923858619,4.412370457040433,0.0,0.0,2.8935844283540758e-05,4.478269151782758,0.0,-0.8318274134422702,-0.0008409687870786944,5.146037848010633,101.68458863405137,1.3340402632505919,0.0003353780457820434
0.0,-270736.84275337245,0.045173507997537755,4.412370456374008,0.0,0.0,2.8936463967902487e-05,4.478269151999026,0.0,-0.8318274132146196,-0.0008409688163838291,5.146037848379469,101.68458863089212,1.3340402632920394,0.0003353780365682275
0.0,-270737.09165988205,0.04637911554535069,4.411863901919565,0.0,0.0,0.00037254410390442704,4.4781974403530755,0.0,-0.8315188328859262,-0.0008158054975590481,5.146139429149383,101.67329374745508,1.3341884617886044,0.0003443287315702489
0.0,-270737.0898128533,0.046379127329391305,4.411863901919565,0.0,0.0,0.00037254410390442704,4.4781974403530755,0.0,-0.8315188328859262,-0.0008158054975590481,5.146139429149383,101.67329374745508,1.3341884617886044,0.00034432881905755244
0.0,-270737.09016502736,0.04637913019292702,4.411863901919565,0.0,0.0,0.00037254410390442704,4.4781974403530755,0.0,-0.8315188328859262,-0.0008158054975590481,5.146139429149383,101.67329374745508,1.3341884617886044,0.00034432884031706997
0.0,-270738.7192540865,0.16116132885699458,4.410743798509838,0.0,0.0,0.0006569133981466988,4.475701367667272,0.0,-0.8351072511858124,-0.00014699799006792402,5.145685736254762,101.58186744194522,1.335389265878812,0.001196497071817653
0.0,-270749.672367623,0.12136960552479568,4.411015430953355,0.0,0.0,-0.0012644410625774014,4.474208218713119,0.0,-0.8348012796509996,0.0005561271898158367,5.148002678220742,101.59995894816056,1.3351514783496272,0.0009010745856218415
0.0,-270754.6169182279,0.046517453393028436,4.410817900485544,0.0,0.0,-0.0012774528249240242,4.47420125103222,0.0,-0.8348800182366601,0.0003253228349944808,5.147821921545899,101.59168375530275,1.3352602336686585,0.0003453557821092455
