#Mol_idx,mol_in_unitcell,unitcell_in_supercell_a,unitcell_in_supercell_b,unitcell_in_supercell_c
0,0,0,0,0
1,1,0,0,0
2,2,0,0,0
3,3,0,0,0
4,0,0,0,1
5,1,0,0,1
6,2,0,0,1
7,3,0,0,1
8,0,0,0,2
9,1,0,0,2
10,2,0,0,2
11,3,0,0,2
12,0,0,1,0
13,1,0,1,0
14,2,0,1,0
15,3,0,1,0
16,0,0,1,1
17,1,0,1,1
18,2,0,1,1
19,3,0,1,1
20,0,0,1,2
21,1,0,1,2
22,2,0,1,2
23,3,0,1,2
24,0,0,2,0
25,1,0,2,0
26,2,0,2,0
27,3,0,2,0
28,0,0,2,1
29,1,0,2,1
30,2,0,2,1
31,3,0,2,1
32,0,0,2,2
33,1,0,2,2
34,2,0,2,2
35,3,0,2,2
36,0,0,3,0
37,1,0,3,0
38,2,0,3,0
39,3,0,3,0
40,0,0,3,1
41,1,0,3,1
42,2,0,3,1
43,3,0,3,1
44,0,0,3,2
45,1,0,3,2
46,2,0,3,2
47,3,0,3,2
48,0,0,4,0
49,1,0,4,0
50,2,0,4,0
51,3,0,4,0
52,0,0,4,1
53,1,0,4,1
54,2,0,4,1
55,3,0,4,1
56,0,0,4,2
57,1,0,4,2
58,2,0,4,2
59,3,0,4,2
60,0,0,5,0
61,1,0,5,0
62,2,0,5,0
63,3,0,5,0
64,0,0,5,1
65,1,0,5,1
66,2,0,5,1
67,3,0,5,1
68,0,0,5,2
69,1,0,5,2
70,2,0,5,2
71,3,0,5,2
72,0,0,6,0
73,1,0,6,0
74,2,0,6,0
75,3,0,6,0
76,0,0,6,1
77,1,0,6,1
78,2,0,6,1
79,3,0,6,1
80,0,0,6,2
81,1,0,6,2
82,2,0,6,2
83,3,0,6,2
84,0,0,7,0
85,1,0,7,0
86,2,0,7,0
87,3,0,7,0
88,0,0,7,1
89,1,0,7,1
90,2,0,7,1
91,3,0,7,1
92,0,0,7,2
93,1,0,7,2
94,2,0,7,2
95,3,0,7,2
96,0,0,8,0
97,1,0,8,0
98,2,0,8,0
99,3,0,8,0
100,0,0,8,1
101,1,0,8,1
102,2,0,8,1
103,3,0,8,1
104,0,0,8,2
105,1,0,8,2
106,2,0,8,2
107,3,0,8,2
108,0,1,0,0
109,1,1,0,0
110,2,1,0,0
111,3,1,0,0
112,0,1,0,1
113,1,1,0,1
114,2,1,0,1
115,3,1,0,1
116,0,1,0,2
117,1,1,0,2
118,2,1,0,2
119,3,1,0,2
120,0,1,1,0
121,1,1,1,0
122,2,1,1,0
123,3,1,1,0
124,0,1,1,1
125,1,1,1,1
126,2,1,1,1
127,3,1,1,1
128,0,1,1,2
129,1,1,1,2
130,2,1,1,2
131,3,1,1,2
132,0,1,2,0
133,1,1,2,0
134,2,1,2,0
135,3,1,2,0
136,0,1,2,1
137,1,1,2,1
138,2,1,2,1
139,3,1,2,1
140,0,1,2,2
141,1,1,2,2
142,2,1,2,2
143,3,1,2,2
144,0,1,3,0
145,1,1,3,0
146,2,1,3,0
147,3,1,3,0
148,0,1,3,1
149,1,1,3,1
150,2,1,3,1
151,3,1,3,1
152,0,1,3,2
153,1,1,3,2
154,2,1,3,2
155,3,1,3,2
156,0,1,4,0
157,1,1,4,0
158,2,1,4,0
159,3,1,4,0
160,0,1,4,1
161,1,1,4,1
162,2,1,4,1
163,3,1,4,1
164,0,1,4,2
165,1,1,4,2
166,2,1,4,2
167,3,1,4,2
168,0,1,5,0
169,1,1,5,0
170,2,1,5,0
171,3,1,5,0
172,0,1,5,1
173,1,1,5,1
174,2,1,5,1
175,3,1,5,1
176,0,1,5,2
177,1,1,5,2
178,2,1,5,2
179,3,1,5,2
180,0,1,6,0
181,1,1,6,0
182,2,1,6,0
183,3,1,6,0
184,0,1,6,1
185,1,1,6,1
186,2,1,6,1
187,3,1,6,1
188,0,1,6,2
189,1,1,6,2
190,2,1,6,2
191,3,1,6,2
192,0,1,7,0
193,1,1,7,0
194,2,1,7,0
195,3,1,7,0
196,0,1,7,1
197,1,1,7,1
198,2,1,7,1
199,3,1,7,1
200,0,1,7,2
201,1,1,7,2
202,2,1,7,2
203,3,1,7,2
204,0,1,8,0
205,1,1,8,0
206,2,1,8,0
207,3,1,8,0
208,0,1,8,1
209,1,1,8,1
210,2,1,8,1
211,3,1,8,1
212,0,1,8,2
213,1,1,8,2
214,2,1,8,2
215,3,1,8,2
216,0,2,0,0
217,1,2,0,0
218,2,2,0,0
219,3,2,0,0
220,0,2,0,1
221,1,2,0,1
222,2,2,0,1
223,3,2,0,1
224,0,2,0,2
225,1,2,0,2
226,2,2,0,2
227,3,2,0,2
228,0,2,1,0
229,1,2,1,0
230,2,2,1,0
231,3,2,1,0
232,0,2,1,1
233,1,2,1,1
234,2,2,1,1
235,3,2,1,1
236,0,2,1,2
237,1,2,1,2
238,2,2,1,2
239,3,2,1,2
240,0,2,2,0
241,1,2,2,0
242,2,2,2,0
243,3,2,2,0
244,0,2,2,1
245,1,2,2,1
246,2,2,2,1
247,3,2,2,1
248,0,2,2,2
249,1,2,2,2
250,2,2,2,2
251,3,2,2,2
252,0,2,3,0
253,1,2,3,0
254,2,2,3,0
255,3,2,3,0
256,0,2,3,1
257,1,2,3,1
258,2,2,3,1
259,3,2,3,1
260,0,2,3,2
261,1,2,3,2
262,2,2,3,2
263,3,2,3,2
264,0,2,4,0
265,1,2,4,0
266,2,2,4,0
267,3,2,4,0
268,0,2,4,1
269,1,2,4,1
270,2,2,4,1
271,3,2,4,1
272,0,2,4,2
273,1,2,4,2
