#Mol_idx,mol_in_unitcell,unitcell_in_supercell_a,unitcell_in_supercell_b,unitcell_in_supercell_c
0,0,0,0,0
1,1,0,0,0
2,2,0,0,0
3,3,0,0,0
4,0,0,0,1
5,1,0,0,1
6,2,0,0,1
7,3,0,0,1
8,0,0,0,2
9,1,0,0,2
10,2,0,0,2
11,3,0,0,2
12,0,0,0,3
13,1,0,0,3
14,2,0,0,3
15,3,0,0,3
16,0,0,0,4
17,1,0,0,4
18,2,0,0,4
19,3,0,0,4
20,0,0,0,5
21,1,0,0,5
22,2,0,0,5
23,3,0,0,5
24,0,0,0,6
25,1,0,0,6
26,2,0,0,6
27,3,0,0,6
28,0,0,0,7
29,1,0,0,7
30,2,0,0,7
31,3,0,0,7
32,0,0,1,0
33,1,0,1,0
34,2,0,1,0
35,3,0,1,0
36,0,0,1,1
37,1,0,1,1
38,2,0,1,1
39,3,0,1,1
40,0,0,1,2
41,1,0,1,2
42,2,0,1,2
43,3,0,1,2
44,0,0,1,3
45,1,0,1,3
46,2,0,1,3
47,3,0,1,3
48,0,0,1,4
49,1,0,1,4
50,2,0,1,4
51,3,0,1,4
52,0,0,1,5
53,1,0,1,5
54,2,0,1,5
55,3,0,1,5
56,0,0,1,6
57,1,0,1,6
58,2,0,1,6
59,3,0,1,6
60,0,0,1,7
61,1,0,1,7
62,2,0,1,7
63,3,0,1,7
64,0,0,2,0
65,1,0,2,0
66,2,0,2,0
67,3,0,2,0
68,0,0,2,1
69,1,0,2,1
70,2,0,2,1
71,3,0,2,1
72,0,0,2,2
73,1,0,2,2
74,2,0,2,2
75,3,0,2,2
76,0,0,2,3
77,1,0,2,3
78,2,0,2,3
79,3,0,2,3
80,0,0,2,4
81,1,0,2,4
82,2,0,2,4
83,3,0,2,4
84,0,0,2,5
85,1,0,2,5
86,2,0,2,5
87,3,0,2,5
88,0,0,2,6
89,1,0,2,6
90,2,0,2,6
91,3,0,2,6
92,0,0,2,7
93,1,0,2,7
94,2,0,2,7
95,3,0,2,7
96,0,0,3,0
97,1,0,3,0
98,2,0,3,0
99,3,0,3,0
100,0,0,3,1
101,1,0,3,1
102,2,0,3,1
103,3,0,3,1
104,0,0,3,2
105,1,0,3,2
106,2,0,3,2
107,3,0,3,2
108,0,0,3,3
109,1,0,3,3
110,2,0,3,3
111,3,0,3,3
112,0,0,3,4
113,1,0,3,4
114,2,0,3,4
115,3,0,3,4
116,0,0,3,5
117,1,0,3,5
118,2,0,3,5
119,3,0,3,5
120,0,0,3,6
121,1,0,3,6
122,2,0,3,6
123,3,0,3,6
124,0,0,3,7
125,1,0,3,7
126,2,0,3,7
127,3,0,3,7
128,0,1,0,0
129,1,1,0,0
130,2,1,0,0
131,3,1,0,0
132,0,1,0,1
133,1,1,0,1
134,2,1,0,1
135,3,1,0,1
136,0,1,0,2
137,1,1,0,2
138,2,1,0,2
139,3,1,0,2
140,0,1,0,3
141,1,1,0,3
142,2,1,0,3
143,3,1,0,3
144,0,1,0,4
145,1,1,0,4
146,2,1,0,4
147,3,1,0,4
148,0,1,0,5
149,1,1,0,5
150,2,1,0,5
151,3,1,0,5
152,0,1,0,6
153,1,1,0,6
154,2,1,0,6
155,3,1,0,6
156,0,1,0,7
157,1,1,0,7
158,2,1,0,7
159,3,1,0,7
160,0,1,1,0
161,1,1,1,0
162,2,1,1,0
163,3,1,1,0
164,0,1,1,1
165,1,1,1,1
166,2,1,1,1
167,3,1,1,1
168,0,1,1,2
169,1,1,1,2
170,2,1,1,2
171,3,1,1,2
172,0,1,1,3
173,1,1,1,3
174,2,1,1,3
175,3,1,1,3
176,0,1,1,4
177,1,1,1,4
178,2,1,1,4
179,3,1,1,4
180,0,1,1,5
181,1,1,1,5
182,2,1,1,5
183,3,1,1,5
184,0,1,1,6
185,1,1,1,6
186,2,1,1,6
187,3,1,1,6
188,0,1,1,7
189,1,1,1,7
190,2,1,1,7
191,3,1,1,7
192,0,1,2,0
193,1,1,2,0
194,2,1,2,0
195,3,1,2,0
196,0,1,2,1
197,1,1,2,1
198,2,1,2,1
199,3,1,2,1
200,0,1,2,2
201,1,1,2,2
202,2,1,2,2
203,3,1,2,2
204,0,1,2,3
205,1,1,2,3
206,2,1,2,3
207,3,1,2,3
208,0,1,2,4
209,1,1,2,4
210,2,1,2,4
211,3,1,2,4
212,0,1,2,5
213,1,1,2,5
214,2,1,2,5
215,3,1,2,5
216,0,1,2,6
217,1,1,2,6
218,2,1,2,6
219,3,1,2,6
220,0,1,2,7
221,1,1,2,7
222,2,1,2,7
223,3,1,2,7
224,0,1,3,0
225,1,1,3,0
226,2,1,3,0
227,3,1,3,0
228,0,1,3,1
229,1,1,3,1
230,2,1,3,1
231,3,1,3,1
232,0,1,3,2
233,1,1,3,2
234,2,1,3,2
235,3,1,3,2
236,0,1,3,3
237,1,1,3,3
238,2,1,3,3
239,3,1,3,3
240,0,1,3,4
241,1,1,3,4
242,2,1,3,4
243,3,1,3,4
244,0,1,3,5
245,1,1,3,5
246,2,1,3,5
247,3,1,3,5
248,0,1,3,6
249,1,1,3,6
250,2,1,3,6
251,3,1,3,6
252,0,1,3,7
253,1,1,3,7
254,2,1,3,7
255,3,1,3,7
256,0,2,0,0
257,1,2,0,0
258,2,2,0,0
259,3,2,0,0
260,0,2,0,1
261,1,2,0,1
262,2,2,0,1
263,3,2,0,1
264,0,2,0,2
265,1,2,0,2
266,2,2,0,2
267,3,2,0,2
268,0,2,0,3
269,1,2,0,3
270,2,2,0,3
271,3,2,0,3
272,0,2,0,4
273,1,2,0,4
