#Mol_idx,mol_in_unitcell,unitcell_in_supercell_a,unitcell_in_supercell_b,unitcell_in_supercell_c
0,0,0,0,0
1,1,0,0,0
2,2,0,0,0
3,3,0,0,0
4,0,0,0,1
5,1,0,0,1
6,2,0,0,1
7,3,0,0,1
8,0,0,0,2
9,1,0,0,2
10,2,0,0,2
11,3,0,0,2
12,0,0,0,3
13,1,0,0,3
14,2,0,0,3
15,3,0,0,3
16,0,0,1,0
17,1,0,1,0
18,2,0,1,0
19,3,0,1,0
20,0,0,1,1
21,1,0,1,1
22,2,0,1,1
23,3,0,1,1
24,0,0,1,2
25,1,0,1,2
26,2,0,1,2
27,3,0,1,2
28,0,0,1,3
29,1,0,1,3
30,2,0,1,3
31,3,0,1,3
32,0,0,2,0
33,1,0,2,0
34,2,0,2,0
35,3,0,2,0
36,0,0,2,1
37,1,0,2,1
38,2,0,2,1
39,3,0,2,1
40,0,0,2,2
41,1,0,2,2
42,2,0,2,2
43,3,0,2,2
44,0,0,2,3
45,1,0,2,3
46,2,0,2,3
47,3,0,2,3
48,0,0,3,0
49,1,0,3,0
50,2,0,3,0
51,3,0,3,0
52,0,0,3,1
53,1,0,3,1
54,2,0,3,1
55,3,0,3,1
56,0,0,3,2
57,1,0,3,2
58,2,0,3,2
59,3,0,3,2
60,0,0,3,3
61,1,0,3,3
62,2,0,3,3
63,3,0,3,3
64,0,0,4,0
65,1,0,4,0
66,2,0,4,0
67,3,0,4,0
68,0,0,4,1
69,1,0,4,1
70,2,0,4,1
71,3,0,4,1
72,0,0,4,2
73,1,0,4,2
74,2,0,4,2
75,3,0,4,2
76,0,0,4,3
77,1,0,4,3
78,2,0,4,3
79,3,0,4,3
80,0,0,5,0
81,1,0,5,0
82,2,0,5,0
83,3,0,5,0
84,0,0,5,1
85,1,0,5,1
86,2,0,5,1
87,3,0,5,1
88,0,0,5,2
89,1,0,5,2
90,2,0,5,2
91,3,0,5,2
92,0,0,5,3
93,1,0,5,3
94,2,0,5,3
95,3,0,5,3
96,0,0,6,0
97,1,0,6,0
98,2,0,6,0
99,3,0,6,0
100,0,0,6,1
101,1,0,6,1
102,2,0,6,1
103,3,0,6,1
104,0,0,6,2
105,1,0,6,2
106,2,0,6,2
107,3,0,6,2
108,0,0,6,3
109,1,0,6,3
110,2,0,6,3
111,3,0,6,3
112,0,0,7,0
113,1,0,7,0
114,2,0,7,0
115,3,0,7,0
116,0,0,7,1
117,1,0,7,1
118,2,0,7,1
119,3,0,7,1
120,0,0,7,2
121,1,0,7,2
122,2,0,7,2
123,3,0,7,2
124,0,0,7,3
125,1,0,7,3
126,2,0,7,3
127,3,0,7,3
128,0,0,8,0
129,1,0,8,0
130,2,0,8,0
131,3,0,8,0
132,0,0,8,1
133,1,0,8,1
134,2,0,8,1
135,3,0,8,1
136,0,0,8,2
137,1,0,8,2
138,2,0,8,2
139,3,0,8,2
140,0,0,8,3
141,1,0,8,3
142,2,0,8,3
143,3,0,8,3
144,0,0,9,0
145,1,0,9,0
146,2,0,9,0
147,3,0,9,0
148,0,0,9,1
149,1,0,9,1
150,2,0,9,1
151,3,0,9,1
152,0,0,9,2
153,1,0,9,2
154,2,0,9,2
155,3,0,9,2
156,0,0,9,3
157,1,0,9,3
158,2,0,9,3
159,3,0,9,3
160,0,1,0,0
161,1,1,0,0
162,2,1,0,0
163,3,1,0,0
164,0,1,0,1
165,1,1,0,1
166,2,1,0,1
167,3,1,0,1
168,0,1,0,2
169,1,1,0,2
170,2,1,0,2
171,3,1,0,2
172,0,1,0,3
173,1,1,0,3
174,2,1,0,3
175,3,1,0,3
176,0,1,1,0
177,1,1,1,0
178,2,1,1,0
179,3,1,1,0
180,0,1,1,1
181,1,1,1,1
182,2,1,1,1
183,3,1,1,1
184,0,1,1,2
185,1,1,1,2
186,2,1,1,2
187,3,1,1,2
188,0,1,1,3
189,1,1,1,3
190,2,1,1,3
191,3,1,1,3
192,0,1,2,0
193,1,1,2,0
194,2,1,2,0
195,3,1,2,0
196,0,1,2,1
197,1,1,2,1
198,2,1,2,1
199,3,1,2,1
200,0,1,2,2
201,1,1,2,2
202,2,1,2,2
203,3,1,2,2
204,0,1,2,3
205,1,1,2,3
206,2,1,2,3
207,3,1,2,3
208,0,1,3,0
209,1,1,3,0
210,2,1,3,0
211,3,1,3,0
212,0,1,3,1
213,1,1,3,1
214,2,1,3,1
215,3,1,3,1
216,0,1,3,2
217,1,1,3,2
218,2,1,3,2
219,3,1,3,2
220,0,1,3,3
221,1,1,3,3
222,2,1,3,3
223,3,1,3,3
224,0,1,4,0
225,1,1,4,0
226,2,1,4,0
227,3,1,4,0
228,0,1,4,1
229,1,1,4,1
230,2,1,4,1
231,3,1,4,1
232,0,1,4,2
233,1,1,4,2
234,2,1,4,2
235,3,1,4,2
236,0,1,4,3
237,1,1,4,3
238,2,1,4,3
239,3,1,4,3
240,0,1,5,0
241,1,1,5,0
242,2,1,5,0
243,3,1,5,0
244,0,1,5,1
245,1,1,5,1
246,2,1,5,1
247,3,1,5,1
248,0,1,5,2
249,1,1,5,2
250,2,1,5,2
251,3,1,5,2
252,0,1,5,3
253,1,1,5,3
254,2,1,5,3
255,3,1,5,3
256,0,1,6,0
257,1,1,6,0
258,2,1,6,0
259,3,1,6,0
260,0,1,6,1
261,1,1,6,1
262,2,1,6,1
263,3,1,6,1
264,0,1,6,2
265,1,1,6,2
266,2,1,6,2
267,3,1,6,2
268,0,1,6,3
269,1,1,6,3
270,2,1,6,3
271,3,1,6,3
272,0,1,7,0
273,1,1,7,0
