#Mol_idx,mol_in_unitcell,unitcell_in_supercell_a,unitcell_in_supercell_b,unitcell_in_supercell_c
0,0,0,0,0
1,1,0,0,0
2,2,0,0,0
3,3,0,0,0
4,0,0,0,1
5,1,0,0,1
6,2,0,0,1
7,3,0,0,1
8,0,0,0,2
9,1,0,0,2
10,2,0,0,2
11,3,0,0,2
12,0,0,0,3
13,1,0,0,3
14,2,0,0,3
15,3,0,0,3
16,0,0,0,4
17,1,0,0,4
18,2,0,0,4
19,3,0,0,4
20,0,0,1,0
21,1,0,1,0
22,2,0,1,0
23,3,0,1,0
24,0,0,1,1
25,1,0,1,1
26,2,0,1,1
27,3,0,1,1
28,0,0,1,2
29,1,0,1,2
30,2,0,1,2
31,3,0,1,2
32,0,0,1,3
33,1,0,1,3
34,2,0,1,3
35,3,0,1,3
36,0,0,1,4
37,1,0,1,4
38,2,0,1,4
39,3,0,1,4
40,0,0,2,0
41,1,0,2,0
42,2,0,2,0
43,3,0,2,0
44,0,0,2,1
45,1,0,2,1
46,2,0,2,1
47,3,0,2,1
48,0,0,2,2
49,1,0,2,2
50,2,0,2,2
51,3,0,2,2
52,0,0,2,3
53,1,0,2,3
54,2,0,2,3
55,3,0,2,3
56,0,0,2,4
57,1,0,2,4
58,2,0,2,4
59,3,0,2,4
60,0,0,3,0
61,1,0,3,0
62,2,0,3,0
63,3,0,3,0
64,0,0,3,1
65,1,0,3,1
66,2,0,3,1
67,3,0,3,1
68,0,0,3,2
69,1,0,3,2
70,2,0,3,2
71,3,0,3,2
72,0,0,3,3
73,1,0,3,3
74,2,0,3,3
75,3,0,3,3
76,0,0,3,4
77,1,0,3,4
78,2,0,3,4
79,3,0,3,4
80,0,0,4,0
81,1,0,4,0
82,2,0,4,0
83,3,0,4,0
84,0,0,4,1
85,1,0,4,1
86,2,0,4,1
87,3,0,4,1
88,0,0,4,2
89,1,0,4,2
90,2,0,4,2
91,3,0,4,2
92,0,0,4,3
93,1,0,4,3
94,2,0,4,3
95,3,0,4,3
96,0,0,4,4
97,1,0,4,4
98,2,0,4,4
99,3,0,4,4
100,0,1,0,0
101,1,1,0,0
102,2,1,0,0
103,3,1,0,0
104,0,1,0,1
105,1,1,0,1
106,2,1,0,1
107,3,1,0,1
108,0,1,0,2
109,1,1,0,2
110,2,1,0,2
111,3,1,0,2
112,0,1,0,3
113,1,1,0,3
114,2,1,0,3
115,3,1,0,3
116,0,1,0,4
117,1,1,0,4
118,2,1,0,4
119,3,1,0,4
120,0,1,1,0
121,1,1,1,0
122,2,1,1,0
123,3,1,1,0
124,0,1,1,1
125,1,1,1,1
126,2,1,1,1
127,3,1,1,1
128,0,1,1,2
129,1,1,1,2
130,2,1,1,2
131,3,1,1,2
132,0,1,1,3
133,1,1,1,3
134,2,1,1,3
135,3,1,1,3
136,0,1,1,4
137,1,1,1,4
138,2,1,1,4
139,3,1,1,4
140,0,1,2,0
141,1,1,2,0
142,2,1,2,0
143,3,1,2,0
144,0,1,2,1
145,1,1,2,1
146,2,1,2,1
147,3,1,2,1
148,0,1,2,2
149,1,1,2,2
150,2,1,2,2
151,3,1,2,2
152,0,1,2,3
153,1,1,2,3
154,2,1,2,3
155,3,1,2,3
156,0,1,2,4
157,1,1,2,4
158,2,1,2,4
159,3,1,2,4
160,0,1,3,0
161,1,1,3,0
162,2,1,3,0
163,3,1,3,0
164,0,1,3,1
165,1,1,3,1
166,2,1,3,1
167,3,1,3,1
168,0,1,3,2
169,1,1,3,2
170,2,1,3,2
171,3,1,3,2
172,0,1,3,3
173,1,1,3,3
174,2,1,3,3
175,3,1,3,3
176,0,1,3,4
177,1,1,3,4
178,2,1,3,4
179,3,1,3,4
180,0,1,4,0
181,1,1,4,0
182,2,1,4,0
183,3,1,4,0
184,0,1,4,1
185,1,1,4,1
186,2,1,4,1
187,3,1,4,1
188,0,1,4,2
189,1,1,4,2
190,2,1,4,2
191,3,1,4,2
192,0,1,4,3
193,1,1,4,3
194,2,1,4,3
195,3,1,4,3
196,0,1,4,4
197,1,1,4,4
198,2,1,4,4
199,3,1,4,4
200,0,2,0,0
201,1,2,0,0
202,2,2,0,0
203,3,2,0,0
204,0,2,0,1
205,1,2,0,1
206,2,2,0,1
207,3,2,0,1
208,0,2,0,2
209,1,2,0,2
210,2,2,0,2
211,3,2,0,2
212,0,2,0,3
213,1,2,0,3
214,2,2,0,3
215,3,2,0,3
216,0,2,0,4
217,1,2,0,4
218,2,2,0,4
219,3,2,0,4
220,0,2,1,0
221,1,2,1,0
222,2,2,1,0
223,3,2,1,0
224,0,2,1,1
225,1,2,1,1
226,2,2,1,1
227,3,2,1,1
228,0,2,1,2
229,1,2,1,2
230,2,2,1,2
231,3,2,1,2
232,0,2,1,3
233,1,2,1,3
234,2,2,1,3
235,3,2,1,3
236,0,2,1,4
237,1,2,1,4
238,2,2,1,4
239,3,2,1,4
240,0,2,2,0
241,1,2,2,0
242,2,2,2,0
243,3,2,2,0
244,0,2,2,1
245,1,2,2,1
246,2,2,2,1
247,3,2,2,1
248,0,2,2,2
249,1,2,2,2
250,2,2,2,2
251,3,2,2,2
252,0,2,2,3
253,1,2,2,3
254,2,2,2,3
255,3,2,2,3
256,0,2,2,4
257,1,2,2,4
258,2,2,2,4
259,3,2,2,4
260,0,2,3,0
261,1,2,3,0
262,2,2,3,0
263,3,2,3,0
264,0,2,3,1
265,1,2,3,1
266,2,2,3,1
267,3,2,3,1
268,0,2,3,2
269,1,2,3,2
270,2,2,3,2
271,3,2,3,2
272,0,2,3,3
273,1,2,3,3
