# Time,Potential,Kinetic En.,Box-XX,Box-XY,Box-XZ,Box-YX,Box-YY,Box-YZ,Box-ZX,Box-ZY,Box-ZZ,Volume,Density,Temperature
0.0,23313.36323929857,0.023064829169003154,3.6385,0.0,0.0,-0.004723802570320523,4.510897526622532,0.0,-0.24029584585003647,0.009494419074865269,4.647181868882867,76.27373431931888,1.8420299331868315,0.0002739813652162145
0.0,23306.22170909966,0.04242961629459351,3.6352468857350773,0.0,0.0,-0.0032654070900213503,4.514221811213524,0.0,-0.237401284153184,0.010643299819376582,4.6513882492450485,76.330726731953,1.8406545797147589,0.0005040108518824677
0.0,23305.685357706017,0.04323240262486561,3.6353809640662487,0.0,0.0,-0.003332563369820948,4.514296633022422,0.0,-0.23739826582755336,0.010546356590734128,4.651725583629027,76.34034329057182,1.8404227132873912,0.0005135469508985599
0.0,23305.5153285701,0.04365153255263786,3.635453044211154,0.0,0.0,-0.003317453814558979,4.5143288641931285,0.0,-0.23739851868671316,0.010513576771118688,4.6518517921584985,76.34447327421583,1.840323152502203,0.0005185256909955531
0.0,23305.47892394093,0.04366305697107276,3.635453098975864,0.0,0.0,-0.003313055901502433,4.514328881077428,0.0,-0.23739964700495478,0.01050213851321579,4.651860026283854,76.34460984524074,1.8403198603926536,0.0005186625866938902
0.0,23305.46597661094,0.04366476379261955,3.635453350844215,0.0,0.0,-0.0033123899525412484,4.514330605441227,0.0,-0.2374002228578627,0.010499123245996892,4.651861095612353,76.34466184570077,1.8403186068999142,0.0005186828616022427
0.0,23305.461781020065,0.04366612151062112,3.635453046517537,0.0,0.0,-0.0033120202021957785,4.514331298764935,0.0,-0.23740158015133897,0.010498418951164663,4.651861753981988,76.34467798498267,1.8403182178561517,0.0005186989895964683
0.0,23305.454179391872,0.04354920602493857,3.6354529648681577,0.0,0.0,-0.003311961908607904,4.514331315409838,0.0,-0.2374016500646042,0.010498280347576418,4.651861866158584,76.34467839283619,1.8403182080246836,0.0005173101796405172
0.0,23305.38594101137,0.04242632057438522,3.6354528961397583,0.0,0.0,-0.003311933792647703,4.5143313500084945,0.0,-0.23740172018821828,0.010498149166547751,4.651861987009004,76.34467951800961,1.8403181809019407,0.0005039717028423677
0.0,23304.84368193159,0.03965968368898067,3.635453137431487,0.0,0.0,-0.003312042670742607,4.5143312366147725,0.0,-0.23740146750114413,0.010498611745486422,4.651861566857258,76.34467577209583,1.840318271198653,0.0004711075118541526
0.0,23303.96562371731,0.03574448239766948,3.635453145925629,0.0,0.0,-0.003312042328227257,4.5143312330483045,0.0,-0.2374014537691757,0.010498635237620516,4.651861547241078,76.34467556822472,1.8403182761130459,0.00042459981014824456
0.0,23302.57085752246,0.04822203229204874,3.635453149374724,0.0,0.0,-0.0033120571640061955,4.514331225461616,0.0,-0.2374014116366927,0.010498660798471995,4.651861519965285,76.34467506471216,1.840318288250413,0.0005728175198726999
0.0,23301.16487213008,0.059118510060044246,3.6354531651669166,0.0,0.0,-0.0033120913504932157,4.514331219091721,0.0,-0.2374013386257305,0.01049871833699637,4.651861470419121,76.34467447548982,1.8403183024538483,0.0007022540673124557
0.0,23299.4520235959,0.05374538363386042,3.6354531984987806,0.0,0.0,-0.0033121314450249213,4.514331223920757,0.0,-0.23740126349623938,0.01049880743920552,4.651861410746935,76.34467427780883,1.8403183072190257,0.0006384280357846103
0.0,23297.271954289634,0.04673417059468157,3.635453229407391,0.0,0.0,-0.003312193220827452,4.514331224526909,0.0,-0.2374011481451604,0.010498907643192513,4.651861335309665,76.34467369909268,1.8403183211692058,0.0005551435810756415
0.0,23294.559204090354,0.08110536910670044,3.6354532284987373,0.0,0.0,-0.0033122374048603987,4.514331215895095,0.0,-0.23740102917013056,0.010498967149255837,4.651861279789196,76.34467262285096,1.8403183471124354,0.0009634304937355477
0.0,23291.47300306093,0.10556244128499426,3.6354532448710977,0.0,0.0,-0.0033123043585938493,4.514331214478887,0.0,-0.23740087552807201,0.01049907047321535,4.651861199361722,76.34467162277411,1.8403183712196811,0.0012539499671511854
0.0,23288.400019859786,0.10258811658268574,3.6354533095565063,0.0,0.0,-0.0033124133734954687,4.514331223533214,0.0,-0.2374006770519833,0.010499264224019225,4.651861064972697,76.34467092874944,1.8403183879494196,0.0012186187042762817
0.0,23285.339539924276,0.10218112376072695,3.635453265320758,0.0,0.0,-0.0033124499968193483,4.514331259904173,0.0,-0.23740059921825082,0.010499248107026467,4.6518611035136725,76.34467124740947,1.8403183802679939,0.001213784137838507
0.0,23281.606240902867,0.1104574121531843,3.6354532144690785,0.0,0.0,-0.003312520776197601,4.514331271624715,0.0,-0.2374004638229846,0.01049923182426443,4.651861113112035,76.34467053526033,1.8403183974346295,0.0013120961078112105
0.0,23279.54050817354,0.15698228852131207,3.635453322034521,0.0,0.0,-0.003312598507816953,4.514331240402847,0.0,-0.23740025876092202,0.010499504776890219,4.651860896247194,76.34466870701885,1.8403184415051124,0.0018647535348597438
0.0,23277.497197179124,0.14018211023257318,3.635453435248243,0.0,0.0,-0.0033126767409025768,4.514331214865582,0.0,-0.23740010839970957,0.010499744105709035,4.651860707987813,76.34466756298967,1.840318469082389,0.0016651883982746276
0.0,23275.971296058968,0.15823683503856,3.635453381629376,0.0,0.0,-0.0033126697785879245,4.51433124025742,0.0,-0.23740011400149189,0.010499672270487013,4.6518607806460865,76.34466805884999,1.8403184571294797,0.0018796559807007372
